Author,Content,Timestamp
ex1L3,!help,2023-05-29 04:40:41.309000+00:00
wd-tod,"```
â€‹No Category:
  Adamantoise     Used to set the ToD of Adamantoise/Aspidochelone.
  Behemoth        Used to set the ToD of Behemoth/King Behemoth.
  Fafnir          Used to set the ToD of Fafnir/Nidhogg.
  KingArthro      Used to set the ToD of King Arthro.
  KingVinegarroon Used to set the ToD of King Vinegarroon.
  ShikigamiWeapon Used to set the ToD of Shikigami Weapon.
  Simurgh         Used to set the ToD of Simurgh.
  Tiamat          Used to set the ToD of Tiamat.
  Vrtra           Used to set the ToD of Vrtra.
  clearch         
  help            Shows this message
  rc              
  sort            
  test            General testing command for checking handle_hnm_command fun...

Type !help command for more info on a command.
You can also type !help category for more info on a category.
```",2023-05-29 04:40:41.810000+00:00
ex1L3,!faf,2023-05-29 04:42:26.958000+00:00
ex1L3,!ka 180003,2023-05-29 04:51:10.375000+00:00
ex1L3,!ka 0 180003,2023-05-29 04:51:30.990000+00:00
ex1L3,!behe 3 200332,2023-05-29 04:51:44.357000+00:00
ex1L3,!faf 3 144544,2023-05-29 04:51:50.915000+00:00
ex1L3,!shiki 0 220905,2023-05-29 04:52:00.325000+00:00
ex1L3,!sim 0 123518,2023-05-29 04:52:07.929000+00:00
ex1L3,!ada 1 170340,2023-05-29 04:54:46.824000+00:00
ex1L3,!ka 0 180003,2023-05-29 05:00:30.051000+00:00
ex1L3,!ka 0 180003,2023-05-29 05:01:17.162000+00:00
ex1L3,!behe 3 200332,2023-05-29 05:01:26.729000+00:00
ex1L3,!faf 3 144544,2023-05-29 05:01:31.677000+00:00
ex1L3,!shiki 0 220905,2023-05-29 05:01:36.187000+00:00
ex1L3,!sim 0 123518,2023-05-29 05:01:40.681000+00:00
ex1L3,!ada 1 170340,2023-05-29 05:01:45.923000+00:00
ex1L3,!sim 0 123518,2023-05-29 05:07:13.155000+00:00
ex1L3,!shiki 0 220905,2023-05-29 05:07:17.854000+00:00
ex1L3,!shiki 0 220905,2023-05-29 05:08:51.079000+00:00
ex1L3,!sim 0 123518,2023-05-29 05:08:55.086000+00:00
ex1L3,!shiki 0 220905,2023-05-29 05:09:50.292000+00:00
ex1L3,!faf 3 024544,2023-05-29 05:13:28.480000+00:00
ex1L3,!faf 3 024544,2023-05-29 05:13:44.684000+00:00
ex1L3,!faf 3 024544,2023-05-29 05:14:22.013000+00:00
ex1L3,!faf 3 024544,2023-05-29 05:15:09.550000+00:00
ex1L3,!rc,2023-05-29 05:15:35.950000+00:00
